age,churn,contract,country,customer_id,dependents,deviceprotection,discount_offered,gender,internetservice,last_activity,monthlycharges,multiplelines,onlinebackup,onlinesecurity,paperlessbilling,partner,paymentmethod,phoneservice,product_category,purchase_amount,region,satisfaction_score,seniorcitizen,streamingmovies,streamingtv,support_tickets_raised,techsupport,tenure,totalcharges,transaction_date,transaction_id,user_name
41.0,1.0,,Canada,ECOM_31,,,,,,,,,,,,,UPI,,Books,598.96,,,,,,,,,,2023-07-28,49147,James Lewis
33.0,0.0,,Brazil,ECOM_50,,,,,,,,,,,,,UPI,,Sports,666.14,,,,,,,,,,2024-02-13,8516,Liam Lewis
47.0,0.0,,Brazil,ECOM_97,,,,,,,,,,,,,Net Banking,,Toys,564.88,,,,,,,,,,2023-10-17,4329,Liam Walker
57.0,0.0,,India,ECOM_86,,,,,,,,,,,,,Credit Card,,Grocery,806.41,,,,,,,,,,2024-05-10,44213,James Walker
25.0,0.0,,UK,ECOM_18,,,,,,,,,,,,,Debit Card,,Grocery,873.7,,,,,,,,,,2024-11-18,14304,Noah Lewis
39.0,1.0,,UK,ECOM_62,,,,,,,,,,,,,Debit Card,,Toys,9.02,,,,,,,,,,2024-12-04,298,Ava Rodriguez
41.0,1.0,,Brazil,ECOM_16,,,,,,,,,,,,,PayPal,,Toys,145.34,,,,,,,,,,2023-03-28,48034,Emma Walker
55.0,1.0,,France,ECOM_38,,,,,,,,,,,,,Debit Card,,Home & Kitchen,951.55,,,,,,,,,,2025-02-07,22932,Elijah Clark
40.0,1.0,,Canada,ECOM_21,,,,,,,,,,,,,PayPal,,Toys,995.71,,,,,,,,,,2024-04-15,15510,Noah Allen
59.0,1.0,,Mexico,ECOM_73,,,,,,,,,,,,,Net Banking,,Sports,751.11,,,,,,,,,,2024-09-30,36843,Liam Clark
64.0,0.0,,Brazil,ECOM_8,,,,,,,,,,,,,Cash on Delivery,,Books,100.42,,,,,,,,,,2025-02-20,16289,Olivia Allen
50.0,1.0,,India,ECOM_71,,,,,,,,,,,,,Net Banking,,Clothing,514.7,,,,,,,,,,2024-01-07,35940,Elijah Rodriguez
27.0,0.0,,Germany,ECOM_73,,,,,,,,,,,,,Credit Card,,Electronics,37.72,,,,,,,,,,2023-08-25,6704,Liam Clark
25.0,1.0,,India,ECOM_86,,,,,,,,,,,,,Debit Card,,Books,622.12,,,,,,,,,,2024-03-22,710,James Walker
57.0,0.0,,Canada,ECOM_19,,,,,,,,,,,,,PayPal,,Electronics,15.71,,,,,,,,,,2025-02-05,16713,James Thompson
59.0,1.0,,India,ECOM_95,,,,,,,,,,,,,Credit Card,,Grocery,300.87,,,,,,,,,,2024-08-01,16948,Ava White
60.0,1.0,,Australia,ECOM_82,,,,,,,,,,,,,Credit Card,,Clothing,389.55,,,,,,,,,,2024-01-15,16695,Oliver Walker
49.0,0.0,,France,ECOM_91,,,,,,,,,,,,,Cash on Delivery,,Books,553.81,,,,,,,,,,2025-02-25,48388,Oliver Lewis
30.0,0.0,,UK,ECOM_12,,,,,,,,,,,,,PayPal,,Sports,313.93,,,,,,,,,,2024-03-28,29287,Sophia Allen
23.0,0.0,,France,ECOM_64,,,,,,,,,,,,,Net Banking,,Books,134.97,,,,,,,,,,2024-01-24,24796,Elijah Walker
32.0,0.0,,India,ECOM_2,,,,,,,,,,,,,UPI,,Sports,845.51,,,,,,,,,,2024-02-10,43188,Sophia Hall
18.0,1.0,,USA,ECOM_25,,,,,,,,,,,,,Cash on Delivery,,Home & Kitchen,625.9,,,,,,,,,,2024-12-30,13920,Sophia Lewis
34.0,1.0,,Japan,ECOM_42,,,,,,,,,,,,,UPI,,Books,284.34,,,,,,,,,,2023-09-25,28255,Noah Clark
54.0,1.0,,Canada,ECOM_83,,,,,,,,,,,,,UPI,,Clothing,323.24,,,,,,,,,,2024-10-20,4272,Emma Thompson
67.0,0.0,,UK,ECOM_73,,,,,,,,,,,,,Cash on Delivery,,Toys,563.91,,,,,,,,,,2024-09-09,3888,Liam Clark
49.0,0.0,,Mexico,ECOM_76,,,,,,,,,,,,,Debit Card,,Books,722.62,,,,,,,,,,2024-09-11,19082,Ava Walker
62.0,0.0,,USA,ECOM_67,,,,,,,,,,,,,Credit Card,,Home & Kitchen,503.82,,,,,,,,,,2023-08-14,22188,Olivia Lewis
69.0,1.0,,Australia,ECOM_73,,,,,,,,,,,,,Debit Card,,Electronics,747.14,,,,,,,,,,2023-12-30,38214,Liam Clark
24.0,0.0,,UK,ECOM_35,,,,,,,,,,,,,Debit Card,,Electronics,565.71,,,,,,,,,,2024-04-06,48983,Isabella Walker
26.0,0.0,,Germany,ECOM_64,,,,,,,,,,,,,Net Banking,,Electronics,43.05,,,,,,,,,,2024-02-13,34543,Elijah Walker
35.0,0.0,,Japan,ECOM_13,,,,,,,,,,,,,Cash on Delivery,,Electronics,781.26,,,,,,,,,,2024-12-15,26361,Sophia Harris
28.0,1.0,,India,ECOM_51,,,,,,,,,,,,,Credit Card,,Electronics,799.8,,,,,,,,,,2023-12-20,46089,Emma Anderson
27.0,1.0,,Mexico,ECOM_77,,,,,,,,,,,,,Cash on Delivery,,Sports,503.81,,,,,,,,,,2024-07-14,37513,Sophia Clark
68.0,0.0,,USA,ECOM_56,,,,,,,,,,,,,Net Banking,,Clothing,994.63,,,,,,,,,,2024-07-21,27633,Isabella Rodriguez
44.0,1.0,,Australia,ECOM_64,,,,,,,,,,,,,PayPal,,Beauty,314.17,,,,,,,,,,2023-08-17,36063,Elijah Walker
43.0,0.0,,India,ECOM_2,,,,,,,,,,,,,Credit Card,,Toys,446.54,,,,,,,,,,2024-12-03,46299,Sophia Hall
24.0,1.0,,UK,ECOM_86,,,,,,,,,,,,,Credit Card,,Home & Kitchen,203.63,,,,,,,,,,2023-06-16,4356,James Walker
50.0,1.0,,Japan,ECOM_14,,,,,,,,,,,,,UPI,,Home & Kitchen,313.13,,,,,,,,,,2024-01-18,15516,Sophia Anderson
36.0,1.0,,Brazil,ECOM_69,,,,,,,,,,,,,Debit Card,,Beauty,55.46,,,,,,,,,,2024-10-11,12646,Olivia Thompson
41.0,1.0,,Germany,ECOM_72,,,,,,,,,,,,,Cash on Delivery,,Electronics,19.14,,,,,,,,,,2024-04-24,15227,Olivia Clark
69.0,0.0,,India,ECOM_80,,,,,,,,,,,,,Credit Card,,Home & Kitchen,377.1,,,,,,,,,,2024-01-20,47928,James Allen
28.0,0.0,,Australia,ECOM_94,,,,,,,,,,,,,PayPal,,Electronics,956.27,,,,,,,,,,2024-11-08,7605,Olivia White
25.0,1.0,,Germany,ECOM_54,,,,,,,,,,,,,Debit Card,,Home & Kitchen,82.14,,,,,,,,,,2023-06-16,4630,Oliver Thompson
28.0,1.0,,France,ECOM_84,,,,,,,,,,,,,PayPal,,Home & Kitchen,750.77,,,,,,,,,,2024-03-12,12214,Olivia Anderson
34.0,0.0,,Mexico,ECOM_80,,,,,,,,,,,,,Credit Card,,Clothing,604.2,,,,,,,,,,2024-01-24,41681,James Allen
21.0,0.0,,Australia,ECOM_88,,,,,,,,,,,,,Credit Card,,Books,43.9,,,,,,,,,,2024-03-16,49198,James Anderson
42.0,1.0,,Mexico,ECOM_18,,,,,,,,,,,,,Net Banking,,Toys,998.41,,,,,,,,,,2024-03-05,22130,Noah Lewis
42.0,1.0,,UK,ECOM_24,,,,,,,,,,,,,Net Banking,,Home & Kitchen,912.9,,,,,,,,,,2024-04-23,16578,Sophia Walker
53.0,0.0,,Australia,ECOM_77,,,,,,,,,,,,,Debit Card,,Home & Kitchen,837.57,,,,,,,,,,2024-01-10,36405,Sophia Clark
19.0,1.0,,USA,ECOM_53,,,,,,,,,,,,,Cash on Delivery,,Beauty,959.27,,,,,,,,,,2024-06-20,41555,Ava Lewis
58.0,1.0,,Brazil,ECOM_16,,,,,,,,,,,,,Cash on Delivery,,Books,983.55,,,,,,,,,,2023-05-26,38990,Emma Walker
57.0,0.0,,Canada,ECOM_56,,,,,,,,,,,,,PayPal,,Electronics,255.0,,,,,,,,,,2023-08-14,7994,Isabella Rodriguez
25.0,1.0,,Germany,ECOM_25,,,,,,,,,,,,,Credit Card,,Sports,613.71,,,,,,,,,,2024-10-11,38985,Sophia Lewis
70.0,0.0,,Australia,ECOM_93,,,,,,,,,,,,,PayPal,,Beauty,5.23,,,,,,,,,,2025-02-18,15343,Isabella Thompson
50.0,0.0,,Japan,ECOM_36,,,,,,,,,,,,,UPI,,Toys,544.01,,,,,,,,,,2024-08-27,1501,Isabella Clark
21.0,0.0,,Germany,ECOM_13,,,,,,,,,,,,,Cash on Delivery,,Home & Kitchen,572.35,,,,,,,,,,2023-10-13,36278,Sophia Harris
65.0,1.0,,Germany,ECOM_28,,,,,,,,,,,,,Debit Card,,Sports,408.78,,,,,,,,,,2023-10-16,24532,Liam Thompson
65.0,0.0,,UK,ECOM_78,,,,,,,,,,,,,UPI,,Toys,810.73,,,,,,,,,,2024-05-21,19464,Emma Lewis
40.0,1.0,,Australia,ECOM_52,,,,,,,,,,,,,UPI,,Books,490.06,,,,,,,,,,2024-08-11,15810,Sophia Thompson
53.0,0.0,,France,ECOM_97,,,,,,,,,,,,,UPI,,Toys,54.45,,,,,,,,,,2023-09-30,37244,Liam Walker
33.0,1.0,,Germany,ECOM_96,,,,,,,,,,,,,UPI,,Sports,201.1,,,,,,,,,,2024-01-09,26415,James Rodriguez
54.0,1.0,,France,ECOM_55,,,,,,,,,,,,,Debit Card,,Clothing,93.69,,,,,,,,,,2024-11-05,43296,Liam Anderson
69.0,1.0,,Japan,ECOM_18,,,,,,,,,,,,,UPI,,Grocery,85.94,,,,,,,,,,2023-06-07,45305,Noah Lewis
39.0,0.0,,Germany,ECOM_55,,,,,,,,,,,,,PayPal,,Books,826.67,,,,,,,,,,2024-07-20,4166,Liam Anderson
38.0,1.0,,France,ECOM_5,,,,,,,,,,,,,PayPal,,Clothing,429.5,,,,,,,,,,2023-06-11,24892,Ava Harris
48.0,1.0,,Germany,ECOM_47,,,,,,,,,,,,,Debit Card,,Home & Kitchen,503.23,,,,,,,,,,2024-12-05,37169,Sophia White
48.0,1.0,,UK,ECOM_5,,,,,,,,,,,,,PayPal,,Clothing,813.88,,,,,,,,,,2024-11-02,23082,Ava Harris
34.0,1.0,,France,ECOM_66,,,,,,,,,,,,,Net Banking,,Books,576.25,,,,,,,,,,2023-09-26,4554,Emma Hall
67.0,0.0,,Germany,ECOM_12,,,,,,,,,,,,,Cash on Delivery,,Home & Kitchen,473.47,,,,,,,,,,2023-06-12,15006,Sophia Allen
69.0,0.0,,Mexico,ECOM_68,,,,,,,,,,,,,UPI,,Electronics,589.13,,,,,,,,,,2023-07-09,2267,Oliver Harris
42.0,0.0,,Australia,ECOM_56,,,,,,,,,,,,,Net Banking,,Books,673.92,,,,,,,,,,2024-06-12,20737,Isabella Rodriguez
50.0,0.0,,Canada,ECOM_15,,,,,,,,,,,,,Debit Card,,Toys,582.0,,,,,,,,,,2024-04-03,19661,Ava Thompson
65.0,1.0,,Germany,ECOM_29,,,,,,,,,,,,,Cash on Delivery,,Sports,782.34,,,,,,,,,,2024-06-17,857,Oliver Allen
63.0,1.0,,Japan,ECOM_68,,,,,,,,,,,,,Credit Card,,Home & Kitchen,138.34,,,,,,,,,,2024-05-29,22322,Oliver Harris
55.0,1.0,,Canada,ECOM_70,,,,,,,,,,,,,Net Banking,,Books,462.61,,,,,,,,,,2023-05-06,49523,Isabella Lewis
20.0,1.0,,Canada,ECOM_29,,,,,,,,,,,,,Cash on Delivery,,Clothing,570.71,,,,,,,,,,2023-09-11,36980,Oliver Allen
53.0,1.0,,Canada,ECOM_95,,,,,,,,,,,,,PayPal,,Grocery,66.98,,,,,,,,,,2024-06-18,19163,Ava White
36.0,0.0,,UK,ECOM_43,,,,,,,,,,,,,Net Banking,,Grocery,711.21,,,,,,,,,,2024-09-01,40065,Ava Anderson
69.0,1.0,,India,ECOM_52,,,,,,,,,,,,,Credit Card,,Beauty,486.69,,,,,,,,,,2023-11-10,5808,Sophia Thompson
23.0,1.0,,Mexico,ECOM_80,,,,,,,,,,,,,Cash on Delivery,,Toys,229.52,,,,,,,,,,2024-08-24,35468,James Allen
33.0,1.0,,Germany,ECOM_55,,,,,,,,,,,,,Debit Card,,Home & Kitchen,713.7,,,,,,,,,,2023-07-06,48276,Liam Anderson
45.0,0.0,,France,ECOM_10,,,,,,,,,,,,,UPI,,Home & Kitchen,493.92,,,,,,,,,,2024-01-19,16207,Liam Allen
66.0,0.0,,Japan,ECOM_32,,,,,,,,,,,,,Debit Card,,Books,593.35,,,,,,,,,,2024-10-31,42894,Noah Thompson
46.0,1.0,,Canada,ECOM_53,,,,,,,,,,,,,UPI,,Books,416.38,,,,,,,,,,2024-07-07,36929,Ava Lewis
34.0,0.0,,UK,ECOM_32,,,,,,,,,,,,,Debit Card,,Toys,932.83,,,,,,,,,,2023-05-27,30085,Noah Thompson
20.0,1.0,,France,ECOM_97,,,,,,,,,,,,,Debit Card,,Clothing,169.5,,,,,,,,,,2024-11-30,8245,Liam Walker
36.0,0.0,,USA,ECOM_59,,,,,,,,,,,,,UPI,,Beauty,78.43,,,,,,,,,,2024-09-27,45173,Oliver Hall
20.0,1.0,,France,ECOM_48,,,,,,,,,,,,,Net Banking,,Toys,666.66,,,,,,,,,,2023-11-23,41768,Isabella Harris
34.0,1.0,,India,ECOM_36,,,,,,,,,,,,,UPI,,Clothing,541.17,,,,,,,,,,2024-04-23,43953,Isabella Clark
48.0,1.0,,Canada,ECOM_3,,,,,,,,,,,,,UPI,,Books,95.72,,,,,,,,,,2024-03-29,11555,Elijah Thompson
43.0,1.0,,Canada,ECOM_46,,,,,,,,,,,,,Net Banking,,Clothing,542.91,,,,,,,,,,2023-04-09,8571,Isabella Anderson
44.0,1.0,,France,ECOM_21,,,,,,,,,,,,,Net Banking,,Beauty,92.24,,,,,,,,,,2024-02-07,3492,Noah Allen
53.0,0.0,,Australia,ECOM_65,,,,,,,,,,,,,UPI,,Home & Kitchen,790.24,,,,,,,,,,2024-08-08,38417,Emma Allen
42.0,0.0,,India,ECOM_80,,,,,,,,,,,,,Credit Card,,Sports,275.77,,,,,,,,,,2025-01-25,14458,James Allen
29.0,0.0,,Germany,ECOM_98,,,,,,,,,,,,,Net Banking,,Clothing,536.31,,,,,,,,,,2023-07-26,49490,Liam White
58.0,1.0,,France,ECOM_100,,,,,,,,,,,,,Credit Card,,Sports,859.01,,,,,,,,,,2023-10-04,38022,Olivia Walker
32.0,1.0,,USA,ECOM_12,,,,,,,,,,,,,PayPal,,Sports,824.96,,,,,,,,,,2024-11-17,41189,Sophia Allen
61.0,0.0,,Brazil,ECOM_81,,,,,,,,,,,,,Credit Card,,Grocery,500.02,,,,,,,,,,2024-07-25,29594,Noah Rodriguez
21.0,0.0,,Brazil,ECOM_29,,,,,,,,,,,,,Cash on Delivery,,Books,658.9,,,,,,,,,,2024-02-14,28476,Oliver Allen
48.0,1.0,,Brazil,ECOM_26,,,,,,,,,,,,,PayPal,,Electronics,887.59,,,,,,,,,,2023-03-28,5508,Noah Harris
51.0,1.0,,USA,ECOM_82,,,,,,,,,,,,,UPI,,Clothing,766.59,,,,,,,,,,2023-12-02,39310,Oliver Walker
56.0,0.0,,Canada,ECOM_64,,,,,,,,,,,,,Debit Card,,Clothing,933.96,,,,,,,,,,2024-06-19,13958,Elijah Walker
42.0,1.0,,Japan,ECOM_57,,,,,,,,,,,,,Cash on Delivery,,Electronics,907.94,,,,,,,,,,2023-06-27,20567,Isabella Hall
33.0,1.0,,Germany,ECOM_81,,,,,,,,,,,,,Credit Card,,Electronics,353.01,,,,,,,,,,2024-07-09,10851,Noah Rodriguez
56.0,0.0,,Germany,ECOM_47,,,,,,,,,,,,,Debit Card,,Home & Kitchen,898.61,,,,,,,,,,2024-09-16,1978,Sophia White
69.0,1.0,,Brazil,ECOM_6,,,,,,,,,,,,,Cash on Delivery,,Home & Kitchen,799.97,,,,,,,,,,2023-09-16,4897,Elijah Harris
41.0,1.0,,Canada,ECOM_50,,,,,,,,,,,,,PayPal,,Books,806.77,,,,,,,,,,2023-10-24,13035,Liam Lewis
25.0,0.0,,USA,ECOM_69,,,,,,,,,,,,,UPI,,Sports,132.0,,,,,,,,,,2024-12-22,9210,Olivia Thompson
61.0,1.0,,India,ECOM_100,,,,,,,,,,,,,UPI,,Clothing,803.95,,,,,,,,,,2023-04-28,38431,Olivia Walker
29.0,1.0,,Canada,ECOM_52,,,,,,,,,,,,,Debit Card,,Grocery,280.66,,,,,,,,,,2024-01-12,12251,Sophia Thompson
36.0,0.0,,Australia,ECOM_9,,,,,,,,,,,,,Cash on Delivery,,Sports,50.56,,,,,,,,,,2024-08-16,40899,Liam Harris
28.0,1.0,,France,ECOM_60,,,,,,,,,,,,,Cash on Delivery,,Sports,848.94,,,,,,,,,,2024-07-19,6112,James Hall
47.0,0.0,,Mexico,ECOM_68,,,,,,,,,,,,,Credit Card,,Beauty,787.25,,,,,,,,,,2024-12-13,36022,Oliver Harris
50.0,0.0,,France,ECOM_16,,,,,,,,,,,,,UPI,,Clothing,766.21,,,,,,,,,,2024-02-24,17016,Emma Walker
50.0,0.0,,Canada,ECOM_89,,,,,,,,,,,,,Net Banking,,Clothing,138.84,,,,,,,,,,2024-07-10,30996,Sophia Rodriguez
69.0,1.0,,Australia,ECOM_64,,,,,,,,,,,,,Debit Card,,Home & Kitchen,770.76,,,,,,,,,,2023-10-06,39167,Elijah Walker
46.0,0.0,,India,ECOM_87,,,,,,,,,,,,,Net Banking,,Toys,113.78,,,,,,,,,,2024-10-02,35211,Oliver White
59.0,1.0,,India,ECOM_25,,,,,,,,,,,,,UPI,,Toys,858.13,,,,,,,,,,2023-06-26,13844,Sophia Lewis
48.0,1.0,,UK,ECOM_27,,,,,,,,,,,,,PayPal,,Toys,887.17,,,,,,,,,,2023-09-11,11187,Emma White
63.0,0.0,,India,ECOM_80,,,,,,,,,,,,,Credit Card,,Electronics,700.25,,,,,,,,,,2025-02-22,30070,James Allen
44.0,1.0,,Japan,ECOM_72,,,,,,,,,,,,,UPI,,Clothing,890.79,,,,,,,,,,2023-03-31,13686,Olivia Clark
26.0,1.0,,UK,ECOM_52,,,,,,,,,,,,,UPI,,Clothing,914.42,,,,,,,,,,2024-08-24,31012,Sophia Thompson
41.0,1.0,,India,ECOM_29,,,,,,,,,,,,,Credit Card,,Sports,296.27,,,,,,,,,,2024-09-12,6073,Oliver Allen
34.0,0.0,,Canada,ECOM_98,,,,,,,,,,,,,Credit Card,,Electronics,634.39,,,,,,,,,,2024-03-16,28839,Liam White
55.0,1.0,,USA,ECOM_60,,,,,,,,,,,,,Net Banking,,Sports,744.5,,,,,,,,,,2023-06-24,13512,James Hall
40.0,0.0,,Germany,ECOM_58,,,,,,,,,,,,,PayPal,,Beauty,483.37,,,,,,,,,,2025-02-27,14600,Oliver Anderson
43.0,0.0,,UK,ECOM_88,,,,,,,,,,,,,PayPal,,Electronics,558.72,,,,,,,,,,2023-07-22,44995,James Anderson
37.0,0.0,,USA,ECOM_86,,,,,,,,,,,,,Net Banking,,Clothing,887.06,,,,,,,,,,2023-06-20,46029,James Walker
29.0,0.0,,Australia,ECOM_96,,,,,,,,,,,,,Debit Card,,Clothing,875.97,,,,,,,,,,2023-09-17,21426,James Rodriguez
47.0,1.0,,USA,ECOM_45,,,,,,,,,,,,,PayPal,,Electronics,131.39,,,,,,,,,,2023-12-22,3951,Ava Clark
67.0,1.0,,Germany,ECOM_36,,,,,,,,,,,,,Net Banking,,Sports,714.28,,,,,,,,,,2024-04-14,38714,Isabella Clark
47.0,1.0,,Canada,ECOM_6,,,,,,,,,,,,,Credit Card,,Home & Kitchen,520.98,,,,,,,,,,2023-12-21,44876,Elijah Harris
58.0,1.0,,Australia,ECOM_73,,,,,,,,,,,,,Debit Card,,Toys,219.77,,,,,,,,,,2023-09-13,14000,Liam Clark
57.0,1.0,,Japan,ECOM_37,,,,,,,,,,,,,PayPal,,Grocery,285.59,,,,,,,,,,2023-09-06,207,Olivia Rodriguez
20.0,1.0,,USA,ECOM_82,,,,,,,,,,,,,UPI,,Beauty,102.91,,,,,,,,,,2023-10-18,8284,Oliver Walker
31.0,0.0,,UK,ECOM_11,,,,,,,,,,,,,Net Banking,,Books,985.9,,,,,,,,,,2023-12-08,13279,James Clark
66.0,0.0,,India,ECOM_82,,,,,,,,,,,,,PayPal,,Electronics,791.61,,,,,,,,,,2023-03-21,28186,Oliver Walker
69.0,0.0,,India,ECOM_13,,,,,,,,,,,,,Credit Card,,Electronics,187.21,,,,,,,,,,2024-06-08,37042,Sophia Harris
66.0,0.0,,UK,ECOM_47,,,,,,,,,,,,,Credit Card,,Grocery,500.7,,,,,,,,,,2024-01-07,35789,Sophia White
39.0,1.0,,Mexico,ECOM_78,,,,,,,,,,,,,Credit Card,,Clothing,36.87,,,,,,,,,,2025-01-25,29662,Emma Lewis
68.0,0.0,,Brazil,ECOM_7,,,,,,,,,,,,,Debit Card,,Toys,842.4,,,,,,,,,,2025-02-18,40750,Oliver Clark
53.0,1.0,,Australia,ECOM_44,,,,,,,,,,,,,UPI,,Home & Kitchen,450.12,,,,,,,,,,2023-11-04,3175,Elijah Anderson
63.0,0.0,,India,ECOM_79,,,,,,,,,,,,,Debit Card,,Home & Kitchen,241.81,,,,,,,,,,2024-03-09,7398,Elijah Allen
68.0,1.0,,Canada,ECOM_80,,,,,,,,,,,,,Credit Card,,Clothing,76.49,,,,,,,,,,2024-04-02,38466,James Allen
35.0,0.0,,Mexico,ECOM_1,,,,,,,,,,,,,Debit Card,,Toys,830.24,,,,,,,,,,2024-07-27,12472,Ava Hall
59.0,0.0,,France,ECOM_86,,,,,,,,,,,,,Credit Card,,Home & Kitchen,703.47,,,,,,,,,,2023-11-19,10519,James Walker
45.0,0.0,,India,ECOM_51,,,,,,,,,,,,,Cash on Delivery,,Clothing,33.23,,,,,,,,,,2024-08-31,26933,Emma Anderson
28.0,0.0,,Japan,ECOM_64,,,,,,,,,,,,,Cash on Delivery,,Sports,484.38,,,,,,,,,,2024-12-15,3873,Elijah Walker
26.0,0.0,,Japan,ECOM_15,,,,,,,,,,,,,Cash on Delivery,,Home & Kitchen,782.79,,,,,,,,,,2023-09-06,42881,Ava Thompson
20.0,0.0,,UK,ECOM_41,,,,,,,,,,,,,Debit Card,,Electronics,886.11,,,,,,,,,,2024-03-31,27621,Liam Hall
57.0,0.0,,Germany,ECOM_49,,,,,,,,,,,,,Credit Card,,Sports,505.52,,,,,,,,,,2023-10-20,49513,Liam Rodriguez
32.0,0.0,,USA,ECOM_69,,,,,,,,,,,,,Cash on Delivery,,Beauty,350.96,,,,,,,,,,2023-05-01,595,Olivia Thompson
59.0,1.0,,Australia,ECOM_86,,,,,,,,,,,,,Debit Card,,Electronics,208.2,,,,,,,,,,2023-06-18,5573,James Walker
19.0,1.0,,Germany,ECOM_87,,,,,,,,,,,,,Debit Card,,Electronics,248.12,,,,,,,,,,2023-09-03,38032,Oliver White
53.0,1.0,,Canada,ECOM_98,,,,,,,,,,,,,Debit Card,,Electronics,59.5,,,,,,,,,,2025-03-05,47715,Liam White
47.0,0.0,,Australia,ECOM_24,,,,,,,,,,,,,Credit Card,,Home & Kitchen,654.48,,,,,,,,,,2023-08-07,10655,Sophia Walker
45.0,1.0,,India,ECOM_28,,,,,,,,,,,,,Cash on Delivery,,Electronics,674.91,,,,,,,,,,2024-07-15,168,Liam Thompson
46.0,1.0,,Mexico,ECOM_18,,,,,,,,,,,,,Net Banking,,Home & Kitchen,924.05,,,,,,,,,,2023-10-11,15051,Noah Lewis
28.0,1.0,,USA,ECOM_15,,,,,,,,,,,,,Debit Card,,Clothing,685.33,,,,,,,,,,2024-08-09,19854,Ava Thompson
21.0,1.0,,France,ECOM_34,,,,,,,,,,,,,Net Banking,,Toys,738.07,,,,,,,,,,2024-12-08,11580,Noah Hall
58.0,1.0,,Canada,ECOM_43,,,,,,,,,,,,,UPI,,Grocery,659.01,,,,,,,,,,2024-09-13,3060,Ava Anderson
42.0,1.0,,Brazil,ECOM_33,,,,,,,,,,,,,Debit Card,,Electronics,384.95,,,,,,,,,,2024-02-27,13619,Isabella White
24.0,1.0,,Mexico,ECOM_15,,,,,,,,,,,,,Net Banking,,Clothing,311.03,,,,,,,,,,2024-10-14,7144,Ava Thompson
27.0,1.0,,Canada,ECOM_49,,,,,,,,,,,,,Debit Card,,Home & Kitchen,889.68,,,,,,,,,,2024-03-23,36297,Liam Rodriguez
66.0,0.0,,India,ECOM_23,,,,,,,,,,,,,Debit Card,,Toys,262.23,,,,,,,,,,2024-02-25,19743,Ava Allen
19.0,1.0,,UK,ECOM_20,,,,,,,,,,,,,Cash on Delivery,,Electronics,582.45,,,,,,,,,,2024-09-19,20443,Emma Clark
41.0,1.0,,India,ECOM_98,,,,,,,,,,,,,PayPal,,Home & Kitchen,804.28,,,,,,,,,,2025-01-16,34612,Liam White
48.0,0.0,,Germany,ECOM_61,,,,,,,,,,,,,PayPal,,Toys,818.19,,,,,,,,,,2024-12-19,18871,Emma Harris
55.0,0.0,,France,ECOM_94,,,,,,,,,,,,,Net Banking,,Home & Kitchen,610.57,,,,,,,,,,2024-09-13,10223,Olivia White
43.0,1.0,,Canada,ECOM_90,,,,,,,,,,,,,Net Banking,,Grocery,275.33,,,,,,,,,,2024-02-14,30396,Elijah Hall
43.0,1.0,,USA,ECOM_90,,,,,,,,,,,,,Cash on Delivery,,Sports,266.83,,,,,,,,,,2024-07-12,17109,Elijah Hall
60.0,1.0,,USA,ECOM_22,,,,,,,,,,,,,PayPal,,Books,432.43,,,,,,,,,,2024-09-03,5764,Noah White
44.0,1.0,,UK,ECOM_46,,,,,,,,,,,,,PayPal,,Grocery,674.82,,,,,,,,,,2024-02-09,21134,Isabella Anderson
18.0,1.0,,India,ECOM_4,,,,,,,,,,,,,UPI,,Toys,789.28,,,,,,,,,,2024-02-17,23591,Elijah White
23.0,1.0,,USA,ECOM_72,,,,,,,,,,,,,Net Banking,,Books,213.66,,,,,,,,,,2024-06-09,48095,Olivia Clark
52.0,0.0,,Germany,ECOM_23,,,,,,,,,,,,,UPI,,Toys,31.56,,,,,,,,,,2023-09-07,16338,Ava Allen
44.0,1.0,,India,ECOM_62,,,,,,,,,,,,,PayPal,,Toys,180.48,,,,,,,,,,2023-08-15,36011,Ava Rodriguez
61.0,1.0,,Mexico,ECOM_66,,,,,,,,,,,,,Cash on Delivery,,Grocery,86.43,,,,,,,,,,2024-07-02,1876,Emma Hall
26.0,1.0,,USA,ECOM_13,,,,,,,,,,,,,Debit Card,,Home & Kitchen,916.7,,,,,,,,,,2024-06-24,45099,Sophia Harris
35.0,0.0,,UK,ECOM_31,,,,,,,,,,,,,PayPal,,Toys,995.61,,,,,,,,,,2023-10-23,2547,James Lewis
26.0,1.0,,Mexico,ECOM_21,,,,,,,,,,,,,UPI,,Clothing,482.44,,,,,,,,,,2024-12-27,11037,Noah Allen
37.0,0.0,,India,ECOM_100,,,,,,,,,,,,,Cash on Delivery,,Books,668.1,,,,,,,,,,2023-06-18,48818,Olivia Walker
40.0,0.0,,UK,ECOM_80,,,,,,,,,,,,,Cash on Delivery,,Books,824.69,,,,,,,,,,2024-05-07,1577,James Allen
25.0,0.0,,France,ECOM_89,,,,,,,,,,,,,Credit Card,,Grocery,465.56,,,,,,,,,,2023-12-23,15964,Sophia Rodriguez
50.0,0.0,,Brazil,ECOM_49,,,,,,,,,,,,,PayPal,,Electronics,28.17,,,,,,,,,,2024-07-24,9415,Liam Rodriguez
27.0,0.0,,USA,ECOM_20,,,,,,,,,,,,,Net Banking,,Books,328.62,,,,,,,,,,2025-01-25,43658,Emma Clark
